t,seq,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,mode_prev,d_pwm,d_err
0.000,0,0,1445,0,0.007,100,0.015,80,0.013,0.012,843,828,700,442,120,131,0,0,0,7.9,8,0,0,0,0,0,50,,,
0.115,1,-5.9,1421,0,-0.016,100,-0.031,80,-0.028,-0.025,862,859,700,442,119,124,0,0,0,7.9,8,0,0,0,0,0,50,0,-24.0,-5.9
0.230,2,-16.1,1380,0,-0.011,100,-0.023,80,-0.021,-0.018,802,818,700,448,107,120,0,0,0,7.5,8,0,0,0,0,0,50,0,-41.0,-10.2
0.344,3,1.9,1453,0,-0.005,100,-0.009,80,-0.008,-0.007,240,837,700,450,104,113,0,0,0,7.5,8,0,0,0,0,0,50,0,73.0,18.0
0.459,4,-11.7,1398,0,-0.02,100,-0.04,80,-0.036,-0.032,877,830,700,457,114,116,0,0,0,7.6,8,0,0,0,0,0,50,0,-55.0,-13.6
0.574,5,1.3,1450,0,0.002,100,0.003,80,0.003,0.003,819,852,700,437,128,119,0,0,0,8,8,0,0,0,0,0,50,0,52.0,13.0
0.689,6,-7.7,1414,0,0.05,100,0.1,80,0.09,0.08,869,820,700,454,118,124,0,0,0,8,8,0,0,0,0,0,50,0,-36.0,-9.0
0.803,7,-0.8,1442,0,0.017,100,0.033,80,0.03,0.027,886,833,700,446,121,106,0,0,0,8.1,8,0,0,0,0,0,50,0,28.0,6.9
0.918,8,-7,1417,0,-0.005,100,-0.01,80,-0.009,-0.008,872,879,700,443,126,98,0,0,0,7.7,8,0,0,0,0,0,50,0,-25.0,-6.2
1.033,9,-5.6,1423,0,-0.002,100,-0.005,80,-0.004,-0.004,881,867,700,447,117,133,0,0,0,7.7,8,0,0,0,0,0,50,0,6.0,1.4
1.148,10,-5.1,1424,0,-0.008,100,-0.015,80,-0.014,-0.012,859,847,700,441,119,113,0,0,0,7.7,8,0,0,0,0,0,50,0,1.0,0.5
1.262,11,14,1501,0,0.016,100,0.033,80,0.029,0.026,849,867,700,458,119,123,0,0,0,7.6,8,0,0,0,0,0,50,0,77.0,19.1
1.377,12,-15.5,1383,0,0.009,100,0.017,80,0.016,0.014,808,799,700,442,121,140,0,0,0,7.6,8,0,0,0,0,0,50,0,-118.0,-29.5
1.492,13,-10,1405,0,-0.016,100,-0.031,80,-0.028,-0.025,855,862,700,448,127,123,0,0,0,7.6,8,0,0,0,0,0,50,0,22.0,5.5
1.607,14,-12.4,1395,0,-0.002,100,-0.004,80,-0.004,-0.003,851,824,700,443,129,119,0,0,0,7.8,8,0,0,0,0,0,50,0,-10.0,-2.4
1.721,15,1.1,1449,0,-0.015,100,-0.03,80,-0.027,-0.024,847,800,700,452,98,126,0,0,0,7.5,8,0,0,0,0,0,50,0,54.0,13.5
1.836,16,-21,1361,0,0.019,100,0.038,80,0.034,0.03,829,869,700,437,132,132,0,0,0,7.6,8,0,0,0,0,0,50,0,-88.0,-22.1
1.951,17,-0.8,1442,0,-0.007,100,-0.014,80,-0.012,-0.011,846,826,700,445,119,110,0,0,0,7.9,8,0,0,0,0,0,50,0,81.0,20.2
2.066,18,-7.5,1415,0,-0.032,100,-0.064,80,-0.057,-0.051,881,846,700,450,113,114,0,0,0,8.2,8,0,0,0,0,0,50,0,-27.0,-6.7
2.181,19,-6.7,1418,0,0,100,0,80,0,0,841,843,700,443,136,111,0,0,0,7.8,8,0,0,0,0,0,50,0,3.0,0.8
2.295,20,-12.6,1394,0,0.008,100,0.017,80,0.015,0.013,885,814,700,444,102,125,0,0,0,7.8,8,0,0,0,0,0,50,0,-24.0,-5.9
2.410,21,-0.3,1444,0,0.002,100,0.004,80,0.003,0.003,831,861,700,448,108,105,0,0,0,7.7,8,0,0,0,0,0,50,0,50.0,12.3
2.525,22,16,1509,0,-0.013,100,-0.025,80,-0.023,-0.02,857,849,700,445,126,114,0,0,0,7.6,8,0,0,0,0,0,50,0,65.0,16.3
2.640,23,-1.8,1438,0,0.001,100,0.001,80,0.001,0.001,879,867,700,445,106,127,0,0,0,7.8,8,0,0,0,0,0,50,0,-71.0,-17.8
2.754,24,11.6,1491,0,-0.004,100,-0.007,80,-0.006,-0.006,864,870,700,457,115,133,0,0,0,8,8,0,0,0,0,0,50,0,53.0,13.4
2.869,25,-15,1385,0,0.022,100,0.043,80,0.039,0.034,862,872,700,461,108,101,0,0,0,8.5,8,0,0,0,0,0,50,0,-106.0,-26.6
2.984,26,9.8,1484,0,-0.025,100,-0.051,80,-0.046,-0.041,850,871,700,433,122,118,0,0,0,8,8,0,0,0,0,0,50,0,99.0,24.8
3.099,27,-2.9,1433,0,0.001,100,0.002,80,0.002,0.002,828,812,700,442,103,123,0,0,0,8,8,0,0,0,0,0,50,0,-51.0,-12.7
3.213,28,-0.7,1442,0,0.01,100,0.02,80,0.018,0.016,825,834,700,442,121,110,0,0,0,7.7,8,0,0,0,0,0,50,0,9.0,2.2
3.328,29,4.3,1462,0,0.008,100,0.017,80,0.015,0.014,901,815,700,449,119,103,0,0,0,8,8,0,0,0,0,0,50,0,20.0,5.0
3.443,30,-5.5,1423,0,0.019,100,0.037,80,0.033,0.03,848,852,700,459,119,95,0,0,0,7.9,8,0,0,0,0,0,50,0,-39.0,-9.8
3.558,31,-8.3,1412,0,-0.049,100,-0.098,80,-0.089,-0.079,769,837,700,450,108,108,0,0,0,8.3,8,0,0,0,0,0,50,0,-11.0,-2.8
