t,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,version,session,tx_seq,control_seq,input_end_ms,control_end_ms,control_dt_us,valid_mask,updated_mask,clipped_mask,action_reason,motor_state,lidar_id,algorithm_id,param_revision,raw_count,radar_dps,segment,host_t
0.0,59.3,1465.0,5.0,nan,nan,-0.092,199.0,nan,nan,0.0,0.0,759.0,273.0,15.0,57.0,7.0,0.0,7.0,9.4,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,2,95,12349,12450,172079,2113928807,2147481191,0,1,2,1,2,0,456,2170,1,0.8439999999999372
0.066,-227.6,1255.0,1.0,-0.813,-119.0,nan,nan,nan,nan,142.0,0.0,759.0,332.0,35.0,3.0,0.0,0.0,0.0,9.5,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,6,96,12463,12516,65919,2113928735,2113926687,0,1,2,1,2,1,456,2154,2,0.8439999999999372
0.168,-360.8,1272.0,1.0,0.321,151.0,nan,nan,nan,nan,139.0,0.0,759.0,333.0,63.0,66.0,0.0,0.0,0.0,9.4,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,10,97,12578,12618,101630,2113928735,2113926687,0,1,2,1,2,1,468,2165,2,0.8439999999999372
0.339,2.7,1445.0,0.0,2.578,139.0,nan,nan,nan,nan,0.0,0.0,759.0,260.0,26.0,45.0,0.0,0.0,0.0,6.8,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,14,98,12691,12789,171102,2113928735,2147481119,0,1,2,1,2,1,456,2130,2,1.2819999999999254
0.467,nan,1445.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,759.0,381.0,42.0,13.0,0.0,0.0,0.0,5.2,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,18,99,12805,12917,128296,2113928706,2147481114,0,5,2,1,2,1,456,2165,2,1.2819999999999254
0.507,-306.1,1324.0,1.0,-0.723,124.0,nan,nan,nan,nan,257.0,0.0,759.0,338.0,73.0,36.0,1.0,0.0,1.0,6.3,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,20,100,12919,12957,40304,2113928735,2113926783,0,1,2,1,2,1,456,2165,2,1.2819999999999254
0.636,-295.6,1330.0,1.0,-1.222,75.0,nan,nan,nan,nan,148.0,0.0,759.0,296.0,54.0,51.0,0.0,0.0,0.0,7.9,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,38,101,13033,13086,128657,2113928735,2113926687,0,1,2,1,2,1,456,2167,2,1.5159999999999627
0.8,nan,1330.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,759.0,312.0,22.0,34.0,0.0,0.0,0.0,12.3,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,41,102,13148,13250,164231,2113928706,2147481114,0,5,2,1,2,1,468,2163,2,1.5159999999999627
0.846,-376.5,1296.0,1.0,0.231,142.0,nan,nan,nan,nan,496.0,0.0,759.0,284.0,78.0,14.0,0.0,0.0,0.0,13.3,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,53,103,13262,13296,45745,2113928735,2113926687,0,1,2,1,2,1,456,2159,2,1.5159999999999627
1.032,nan,1296.0,nan,nan,nan,nan,nan,nan,nan,754.0,0.0,759.0,323.0,69.0,53.0,0.0,0.0,0.0,11.6,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,60,104,13376,13482,185805,2113928706,2147481114,0,5,2,1,2,1,456,2180,2,1.9539999999999509
1.145,nan,1296.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,616.0,283.0,0.0,46.0,0.0,0.0,0.0,11.2,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,61,105,13490,13595,113311,2113928706,2147483162,0,5,2,1,2,1,456,2154,2,1.9539999999999509
1.192,-304.0,1324.0,1.0,0.721,157.0,nan,nan,nan,nan,157.0,0.0,616.0,312.0,66.0,12.0,0.0,0.0,0.0,10.6,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,63,106,13605,13642,47465,2113928735,2113926687,0,1,2,1,2,1,468,2180,2,1.9539999999999509
1.32,286.8,1664.0,2.0,0.051,140.0,nan,nan,nan,nan,0.0,129.0,616.0,292.0,50.0,19.0,0.0,0.0,0.0,10.5,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,919131803,68,107,13719,13770,127445,2113928735,2113926687,0,1,2,1,2,1,456,2188,2,2.062999999999988
